,username,video_title,publish_time,view_count,comment_count,like_count,dislike count,api_call_time
0,Ed Sheeran,Ed Sheeran - Bad Habits [Official Video],2021-06-25T04:00:33Z,7588217,43259,605178,12536,2021-06-26T08:37:10.479846
1,Doja Cat,"Doja Cat, The Weeknd - You Right (Official Video)",2021-06-25T04:00:10Z,8884915,29354,469710,5452,2021-06-26T08:37:10.479846
2,BLACKPINK,BLACKPINK x Today&#39;s Top Hits,2021-06-24T15:00:03Z,5166700,44050,905912,7033,2021-06-26T08:37:10.479846
3,CHASE ATLANTIC,Chase Atlantic - OHMAMI (Official Lyric Video),2021-06-25T04:00:11Z,835680,19979,188238,571,2021-06-26T08:37:10.479846
4,MariahVEVO,"Mariah Angeliq, Bad Gyal, Maria Becerra - BOBO (Official Video)",2021-06-25T00:00:12Z,1306367,6971,105489,3040,2021-06-26T08:37:10.479846
5,Apex Legends,Apex Legends Genesis Collection Event Trailer,2021-06-24T15:00:07Z,1605115,7462,81600,823,2021-06-26T08:37:10.479846
6,Azure Academy,Windows 11 Launch Overview,2021-06-24T20:12:30Z,3019845,20056,174138,6041,2021-06-26T08:37:10.479846
7,TIKTORIKI,What else to try? #shorts Funn Tiktok new food Challenge by Tiktoriki,2021-06-19T07:15:00Z,30193056,720,638766,56433,2021-06-26T08:37:10.479846
8,Rusher King,Rusherking - LOBA (Official Video),2021-06-23T23:00:10Z,1901225,11652,223349,2191,2021-06-26T08:37:10.479846
9,GeorgeNotFound,"Minecraft, But My Friend Is An Axolotl...",2021-06-24T17:02:13Z,5619106,42098,618722,5127,2021-06-26T08:37:10.479846
10,America's Got Talent,Golden Buzzer: Jimmie Herrod Surprises the Judges With &quot;Tomorrow&quot; - America&#39;s Got Talent 2021,2021-06-23T01:34:30Z,6215235,9571,145624,2749,2021-06-26T08:37:10.479846
11,Team Coco,Conan Says Farewell To Late Night - CONAN on TBS,2021-06-25T02:53:34Z,1968484,11445,105609,502,2021-06-26T08:37:10.479846
12,Red Bull,Red Bull Racing Honda Vs Scuderia AlphaTauri: Epic Off-Road Race Across Austria | Schnitzeljagd,2021-06-24T09:00:48Z,1334420,3225,71569,491,2021-06-26T08:37:10.479846
13,Universal Pictures,Halloween Kills - Official Trailer,2021-06-25T01:31:21Z,1443254,9681,68942,947,2021-06-26T08:37:10.479846
14,Linus Tech Tips,WHY did I get my hopes up? - Windows 11 Announcement,2021-06-25T06:21:34Z,1965463,15443,104526,1891,2021-06-26T08:37:10.479846
15,ArianaGrandeVevo,Ariana Grande - pov (Official Live Performance) | Vevo,2021-06-21T16:00:18Z,8082966,68266,861388,7145,2021-06-26T08:37:10.479846
16,Aileen and Deven,Will my boyfriend punch me in the face for a billion dollars?,2021-06-14T15:00:14Z,10062863,7521,590131,9500,2021-06-26T08:37:10.479846
