,user_name,game_name,title,viewer_count,started_at,api_call_time
0,loltyler1,League of Legends,FOR THEY APPEARS AND THEN ? now go DESTROY ! ok do ! BEEP BEEP ! out ways guy ! BIG !!!!!!,30212,2021-08-05 21:36:37,2021-08-06T08:06:02.472404
1,summit1g,Grand Theft Auto V,chillin. Merch dropped summit1g.gg  [ @summit1g ],23170,2021-08-05 22:46:05,2021-08-06T08:06:02.472404
2,Trainwreckstv,Just Chatting,#SCUFFEDPod 146 Powered By @CashApp | !twitter | !youtube | !podcast,23163,2021-08-06 04:37:59,2021-08-06T08:06:02.472404
3,TSM_ImperialHal,Apex Legends,New TSM Squad???? !youtube | TSMFTX,16647,2021-08-05 23:58:19,2021-08-06T08:06:02.472404
4,Kyedae,VALORANT,ROAD TO PLAT LETS GOOOOO,10263,2021-08-06 05:03:14,2021-08-06T08:06:02.472404
5,Annoying,Just Chatting,6ix9ine vs WACK100.. REACTION,9830,2021-08-06 01:40:48,2021-08-06T08:06:02.472404
6,ironmouse,Just Chatting,4 YEAR VTUBER ANNIVERSARY CELEBRATION !charity !merch !idf !plasma,9821,2021-08-05 23:03:06,2021-08-06T08:06:02.472404
7,LCK,League of Legends,DRX vs KTㅣT1 vs GEN | 2021 LCK Summer,9730,2021-08-06 07:30:14,2021-08-06T08:06:02.472404
8,BeyondTheSummit,Dota 2,LIVE: T1 vs Fnatic (Bo2) - LOOT.BET Pro Series 7 SEA: Group Stage w/ MLPDotA & johnxfire,9351,2021-08-06 00:32:25,2021-08-06T08:06:02.472404
9,Fextralife,Back 4 Blood,🔥BETA KEY !DROPS🔥BACK 4 BLOOD with TYR! #thanksWBforthecode,9046,2021-08-06 07:41:01,2021-08-06T08:06:02.472404
10,Maximilian_DOOD,Project Justice,Guilty Gear PATCH!? AKIRA - Project Justice & FFXIV Alexander Quests Continue !FREEMVC2 (8-5) !nzxt ,8877,2021-08-06 04:52:49,2021-08-06T08:06:02.472404
11,roflgator,Gartic Phone,GARTIC PHONE BUT WITH GOOD ARTISTS,8030,2021-08-06 03:05:48,2021-08-06T08:06:02.472404
12,PPGL_VCTPH,VALORANT,2021 VCT Stage 3 - Challengers PH - Week 3 Main Event - Day 1,7572,2021-08-06 04:15:49,2021-08-06T08:06:02.472404
13,DiazBiffle,Apex Legends,IM ALIVE | !scuf | !youtube | @DiazBiffle,6732,2021-08-06 02:05:33,2021-08-06T08:06:02.472404
14,tarik,Counter-Strike: Global Offensive,Pugs  @tarik // !new,6636,2021-08-06 00:15:41,2021-08-06T08:06:02.472404
15,x2Twins,Fortnite,TRIO SCRIMS,6550,2021-08-06 05:19:36,2021-08-06T08:06:02.472404
16,UberHaxorNova,Back 4 Blood,Back 4 Blood w/Drops? | Creator Code: Nova | check !paststreams,6306,2021-08-06 01:18:20,2021-08-06T08:06:02.472404
17,koil,Grand Theft Auto V,"Life changing announcement in like an hour, some might not agree with it but its what ever.",5852,2021-08-06 03:44:51,2021-08-06T08:06:02.472404
18,pokelawls,,late night vibe,5744,2021-08-06 05:16:28,2021-08-06T08:06:02.472404
19,sneakylol,League of Legends,Sneaky | pokemon unite ripoff,4565,2021-08-05 22:35:46,2021-08-06T08:06:02.472404
