,user_name,game_name,title,viewer_count,started_at,api_call_time
0,LCK,League of Legends,LSB vs NSㅣKT vs GEN | 2021 LCK Summer,29260,2021-07-30 07:30:13,2021-07-30T13:06:02.392559
1,Chess,Chess,"FIDE WORLD CUP Quarterfinals Karjakin, Shankland, Kosteniuk | Hosts: GMs Naroditsky and Hou Yifan | !format !bracket !tiebreak",20068,2021-07-30 11:29:31,2021-07-30T13:06:02.392559
2,Fextralife,New World,🔥!DROPS🔥!giveaway WAR @ 8PM CET with CAS! #BFNW newworld.wiki.fextralife.com,17572,2021-07-30 07:07:22,2021-07-30T13:06:02.392559
3,CohhCarnage,The Ascent,THE ASCENT (First Look)! \o/ - Chernobylite & FFXIV (MSQ) !SOON - !Merch (Cohh.tv/Store) - !FF14Join - !NewHouseMonth,15152,2021-07-30 12:04:26,2021-07-30T13:06:02.392559
4,Symfuhny,Call of Duty: Warzone,"(9.69kd) (2,218 wins) HOW MANY HACKERS WILL WE RUN INTO TODAY? (0)  + NEW KEYBOARD JUST DROPPED!!! | !Keyboard",10959,2021-07-30 10:57:57,2021-07-30T13:06:02.392559
5,ShivFPS,Apex Legends,"(Drops enabled) Solo queue pubs / Ranked with team SoloQgoats, warzone later to prepare for tourny | !Socials for updates !gfuel !exitlag",9354,2021-07-30 10:47:04,2021-07-30T13:06:02.392559
6,LPL,League of Legends,EDG VS. V5 | RW VS. WE - Week 8 Day 5 | LPL Summer Split (2021),9127,2021-07-30 08:00:22,2021-07-30T13:06:02.392559
7,Rekkles,League of Legends,Rekkles,9060,2021-07-30 12:45:48,2021-07-30T13:06:02.392559
8,DeuceAce,Slots,"🌰 €376.000 - 10M Hunt & Buys 🌰 !STAKE use code ""JAY"" for free money raffles✨",8691,2021-07-30 10:22:10,2021-07-30T13:06:02.392559
9,39daph,Silent Hill 2,these hills sure are silent too (2)! haha,8572,2021-07-30 09:02:02,2021-07-30T13:06:02.392559
10,BlockchainGameGang,Axie Infinity,[BGG] GUARANTEED SCHOLARSHIP EASY BY WATCHING - CHATTING AND SETTING SCHOLARS,7631,2021-07-30 12:04:46,2021-07-30T13:06:02.392559
11,Steelmage,Path of Exile,<SSFHCBTW> My build isnt zdps :^) !build !ethical !faq,6309,2021-07-30 08:01:11,2021-07-30T13:06:02.392559
12,singsing,Dota 2,chilling  - Atomic War custom game - NEW SUB EMOTES by june611 !!!!,6050,2021-07-30 08:37:55,2021-07-30T13:06:02.392559
13,Drututt,League of Legends,"You buffed akshan, thank you riot your payment should arrive soon",5160,2021-07-30 11:51:39,2021-07-30T13:06:02.392559
14,Thijs,Hearthstone,Thijs - NEW CARDS 12Win Duelsss,5117,2021-07-30 08:00:18,2021-07-30T13:06:02.392559
15,dafran,Overwatch,PESTICIDE FREE GAMEPLAY,4984,2021-07-30 10:34:44,2021-07-30T13:06:02.392559
16,OkCode,Genshin Impact,!beidou guide plsLUL !paimon,4852,2021-07-30 06:41:00,2021-07-30T13:06:02.392559
17,midbeast,League of Legends,i figured out AKSHAN and he is broken... | FAKER AKSHAN REVIEW !video out now #LPLCostream,4832,2021-07-30 08:31:18,2021-07-30T13:06:02.392559
18,lol_nemesis,League of Legends,2021 LCK Summer | GENG VS KT Commentary | #2021LCKWatchParty,4601,2021-07-30 06:59:09,2021-07-30T13:06:02.392559
19,Zizaran,Path of Exile,Continuing to Push Higher Maps! 💥SSFHC NO LOGOUT💥 | !3.15 !Youtube | Merch: shop.zizaran.com,4559,2021-07-30 09:18:24,2021-07-30T13:06:02.392559
20,ESAMarathon,Super Smash Bros. Brawl,[ 🔴 LIVE ] ESA Summer 2021 in aid of Save the Children,4400,2021-07-30 07:21:11,2021-07-30T13:06:02.392559
21,Euriece,Apex Legends,【日本語/ENG】Duo 100 wins | !kovaaks !artesian,4247,2021-07-30 10:25:55,2021-07-30T13:06:02.392559
22,Silent,Grand Theft Auto V,NoPixel | CRIM GARCIA | !MERCH CONTEST | SileNtCSGO on Twitter,4242,2021-07-30 04:19:41,2021-07-30T13:06:02.392559
23,boxbox,VALORANT,head empty,4152,2021-07-30 00:57:26,2021-07-30T13:06:02.392559
24,StaysafeTV,New World,🔴FINDING THE BEST XP/H - GAMER TIME ,3956,2021-07-30 06:11:18,2021-07-30T13:06:02.392559
25,RduLIVE,Hearthstone,Battlegroundsing! | Console Games Later(Warzone/Detroit/StarWars?),3805,2021-07-30 11:02:28,2021-07-30T13:06:02.392559
26,CDNThe3rd,New World,"Improv, Dueling for $$, LvLing | [👀DROPS: Golden Rage Armor Skin] | Socials: @CDNThe3rd",3534,2021-07-30 03:54:15,2021-07-30T13:06:02.392559
27,JokerdTV,World of Warcraft,PTR! Serpentshrine Cavern and Tempest Keep <Method> !youtube,3523,2021-07-30 09:46:27,2021-07-30T13:06:02.392559
28,ONSCREEN,VALORANT,TSM VS GENG | VCT NA WATCHUP PARTY !watchup 🔸 !keeps !logitech !monster !discord !youtube,3350,2021-07-30 09:54:26,2021-07-30T13:06:02.392559
29,adeptthebest,Grand Theft Auto V,Selena and Mari ,3287,2021-07-30 06:05:07,2021-07-30T13:06:02.392559
30,spell316,Music,nu setup - COMMUNITY SAMPLE FLIP,3066,2021-07-30 10:06:45,2021-07-30T13:06:02.392559
31,robcdee,Just Chatting,Tokyo | getting caught in NPC loops | !socials !vpn,3021,2021-07-30 06:28:21,2021-07-30T13:06:02.392559
32,iiTzTimmy,VALORANT,Celebrating Aweene's First Partner Stream // !nordvpn // Follow my socials @iiTzTimmy,3016,2021-07-30 04:04:21,2021-07-30T13:06:02.392559
33,AverageJonas,VALORANT,TSM vs GenG | VCT Watch Party (VOD),3014,2021-07-30 09:27:59,2021-07-30T13:06:02.392559
34,EmadGG,Fortnite,MIDDLE EAST FNCS ROUND 2 VIEWING PARTY! | !Jump !Map,2936,2021-07-30 11:03:41,2021-07-30T13:06:02.392559
35,TEBtvDOTA,Dota 2,[EN] Winstrike vs Team Unique | Group Stage | Dota 2 Champions League Season 2,2905,2021-07-30 11:52:51,2021-07-30T13:06:02.392559
36,miniminter,Just Chatting,Simon Says Join,2858,2021-07-30 12:36:26,2021-07-30T13:06:02.392559
37,Deadlyslob,Escape from Tarkov,Looking for Shturman - Raids & Slays with @DeadlySlob  - !Nord - !Prime ,2855,2021-07-30 10:55:07,2021-07-30T13:06:02.392559
38,AnnieFuchsia,Final Fantasy XIV Online,finally some MSQ again? | 4 gifted subs = fat chocobo mount | !youtube,2840,2021-07-30 09:49:44,2021-07-30T13:06:02.392559
39,Lacari,Genshin Impact,please.. have mercy,2777,2021-07-30 03:17:57,2021-07-30T13:06:02.392559
40,ClassyBeef,Slots,"🔥 SOON OPENING 72+ BIG BONUSES! 🔥 $1000 DOLLAR DROPS RANDOMLY! 🔥 |  $ 50,000 !Tournament | !Stake for best Casino",2770,2021-07-30 07:02:57,2021-07-30T13:06:02.392559
41,Pestily,I'm Only Sleeping,THE STREAM THAT NEVER ENDS | PC GIVEAWAY #18 OPEN | !RAID MINI SERIES NOW LIVE! | 30 CONTINUOUSLY LIVE DAYS | ,2700,2021-07-30 11:01:03,2021-07-30T13:06:02.392559
42,Anthony_Kongphan,New World,{lvl 60} - COVENANT 🔥 !Drops #BFNW | #Sponsored ( !Extension !NewWorld ),2660,2021-07-30 03:00:04,2021-07-30T13:06:02.392559
43,iskall85,Minecraft,chilling at Vault Hunters SMP | !discord !prime,2645,2021-07-30 10:58:56,2021-07-30T13:06:02.392559
44,ESL_SC2,StarCraft II,LIVE: DreamHack SC2 Masters: Fall 2021 - TW/HK Group Stage,2604,2021-07-30 08:25:05,2021-07-30T13:06:02.392559
45,kennyS,VALORANT,NEW VIDEO !YT | Valo w/ Paula - 5PM CS:GO (SUBGAMES) | !store !discord !subgames,2580,2021-07-30 11:56:57,2021-07-30T13:06:02.392559
46,SmiteGame,SMITE,friday games with !patte,2555,2021-07-30 09:56:14,2021-07-30T13:06:02.392559
47,crokeyz,Magic: The Gathering,Arena Open Gruul Prep! HH Reveal Later,2517,2021-07-30 08:46:37,2021-07-30T13:06:02.392559
48,nl_Kripp,,ZZZ + BGs | STREAMATHON 24 Hours All Week | !Build !Giveaway,2513,2021-07-29 18:01:30,2021-07-30T13:06:02.392559
49,flamuu,World of Warships,Napoli and stuff,2372,2021-07-30 10:18:12,2021-07-30T13:06:02.392559
50,GloriaMatvien,Just Chatting,💗FRIDAY time 💗 Have a nice day 💗 !ig !dance !roulette 💗,2357,2021-07-30 10:03:53,2021-07-30T13:06:02.392559
51,Distortion2,Dead Rising 2,Dead Rising 2 First Playthrough | !gfuel !displate,2325,2021-07-30 11:11:58,2021-07-30T13:06:02.392559
52,TobiasFate,League of Legends,Tobias Fate - OMEGA SHRIGMA MALE TAKES ON NA SERVERS WORST MID LANERS (!hs today),2312,2021-07-30 12:04:21,2021-07-30T13:06:02.392559
53,PimpCSGO,Counter-Strike: Global Offensive,LIVE FROM KYIV UKRAINE! - Big Knife !giveaway !location - !skinbaron !snt !allstar,2298,2021-07-30 08:56:13,2021-07-30T13:06:02.392559
54,stormen,Apex Legends,Gaming // !sneak !youtube !social !keeps,2250,2021-07-30 08:14:09,2021-07-30T13:06:02.392559
55,Denis3D,Grand Theft Auto V,NoPixel Dev | WHY WORK IF YOU CAN BE STALLING | !links !cmd | #Polglish,2241,2021-07-30 07:53:46,2021-07-30T13:06:02.392559
56,Gladd,Tribes of Midgard,Solo Wolf Saga Attempts !30,2237,2021-07-29 10:45:03,2021-07-30T13:06:02.392559
57,WillerZ,Escape from Tarkov,SOLO MAN | !fission !jerky,2160,2021-07-30 06:53:13,2021-07-30T13:06:02.392559
58,wudijo,Diablo III,P2800+ Monk !4p150 - Destination: First Solo !150 - !freeze !FAQ !inna !WoL!zmonk - !Discord !YT !Maxroll,2152,2021-07-30 08:53:46,2021-07-30T13:06:02.392559
59,TwoAngryGamersTV,Hell Let Loose,"[ !HELLGIFT ] Gift a sub, get a DLC code! W A R  🔥 | !prime | @2angrygamers ",2134,2021-07-30 10:33:44,2021-07-30T13:06:02.392559
60,ops1x,Fortnite,best player is watching outerbanks ( 1 year stream day 42/365),2111,2021-07-28 15:28:30,2021-07-30T13:06:02.392559
61,DanucD,PUBG: BATTLEGROUNDS,!gfuel - 30% OFF | @DanucD on Socials | !spotify - Copyright Free Music | Review !video,2106,2021-07-30 10:07:27,2021-07-30T13:06:02.392559
62,XcaliburYe,Dota 2,"Up to 1000 $ giveaway! | Better than yesterday !huel !WOWS !giveaway
",2103,2021-07-30 04:52:32,2021-07-30T13:06:02.392559
63,GuhRL,Apex Legends,DROPS HERE! Solo to Master - Quiet & Focused - GOAL TODAY: D1 !youtube ,2040,2021-07-30 06:40:12,2021-07-30T13:06:02.392559
64,SayeedBlack,Grand Theft Auto V,Speedy Wanted jefe-Short ish stream -Nopixel-twitter@Sayeeedblack,2037,2021-07-30 11:41:47,2021-07-30T13:06:02.392559
65,Governor,VALORANT,BBG Governor | chill early morning stream | !discord | !socials | !boost | !newvid | !modapps,2024,2021-07-30 08:57:57,2021-07-30T13:06:02.392559
66,Rob2628,Diablo III,P2.8k+ 135 Speeds Rank 1 !150 !Mang !R1 !RNG !META !Seasonstart !Tierlist !Group !Maxroll,1993,2021-07-30 08:34:21,2021-07-30T13:06:02.392559
67,Towelliee,New World,LvL 60 TWODAY | Beta Key Giveaways (ALL) ⚔️!DROPS⚔️ !Company #TeamMarauders- YAMA server #BFNW | !GFUEL !GUNNAR !ORIGIN |,1985,2021-07-30 09:53:09,2021-07-30T13:06:02.392559
