,username,video_title,publish_time,view_count,comment_count,like_count,dislike count,api_call_time
0,BillieEilishVEVO,Billie Eilish - Happier Than Ever (Official Music Video),2021-07-30T16:00:09Z,4510530,47803,626144,6452,2021-07-31T14:37:06.098608
1,BryantMyersVEVO,Bryant Myers - Airdrop (Official Music Video),2021-07-30T04:00:32Z,776267,6798,91547,753,2021-07-31T14:37:06.098608
2,Eladio Carrion,"Eladio Carrion, J Balvin, Daddy Yankee, Bobby Shmurda - TATA REMIX (Video Oficial)",2021-07-28T19:00:08Z,5152176,20016,297512,5037,2021-07-31T14:37:06.098608
3,KHEA,"KHEA, Julia Michaels, Becky G ft. Di Genius - Only One (Official Video)",2021-07-29T22:00:09Z,1099534,5144,128826,1331,2021-07-31T14:37:06.098608
4,LilNasXVEVO,"Lil Nas X, Jack Harlow - INDUSTRY BABY (Official Video)",2021-07-23T04:00:12Z,51368042,239800,2532790,181929,2021-07-31T14:37:06.098608
5,POPSMOKEVEVO,Pop Smoke - Demeanor feat. Dua Lipa (Official Video),2021-07-29T16:00:10Z,1998553,8083,129133,2639,2021-07-31T14:37:06.098608
6,BBC Radio 1,"BTS - I&#39;ll Be Missing You (Puff Daddy, Faith Evans and Sting Cover) in the Live Lounge",2021-07-27T11:15:13Z,8707736,71645,1094455,6859,2021-07-31T14:37:06.098608
7,EA SPORTS FIFA,FIFA 22 | Official Gameplay Trailer,2021-07-29T15:00:11Z,1212514,4286,65432,5444,2021-07-31T14:37:06.098608
8,MrBeast,"If You Can Carry $1,000,000 You Keep It!",2021-07-24T20:00:59Z,26878632,53411,1301624,13906,2021-07-31T14:37:06.098608
9,BBC Radio 1,BTS - Permission To Dance in the Live Lounge,2021-07-27T11:15:01Z,7261592,21311,797662,3806,2021-07-31T14:37:06.098608
10,ZHC Crafts,"Best Play Doh Art Wins $5,000 Challenge! | ZHC Crafts",2021-07-29T17:39:54Z,2512333,13823,122796,1784,2021-07-31T14:37:06.098608
11,Veritasium,The Simplest Math Problem No One Can Solve,2021-07-30T14:16:19Z,1668843,9049,105187,1262,2021-07-31T14:37:06.098608
12,DaniClips,"Dani talks to Steam support, but...",2021-07-31T12:00:06Z,795015,14316,110433,571,2021-07-31T14:37:06.098608
13,MGM,HOUSE OF GUCCI | Official Trailer | MGM Studios,2021-07-30T00:15:01Z,6307611,2579,31401,616,2021-07-31T14:37:06.098608
14,Dead Meat,PG: Psycho Goreman (2020) KILL COUNT,2021-07-30T13:00:32Z,721402,3374,46124,493,2021-07-31T14:37:06.098608
15,Mark Rober,World Record Domino Robot (100k dominoes in 24hrs),2021-07-26T19:59:46Z,14433935,25861,662052,8011,2021-07-31T14:37:06.098608
16,Silver,I Survived 100 Days as a SHAPESHIFTER in Minecraft...,2021-07-29T16:45:00Z,2511538,8339,99502,1567,2021-07-31T14:37:06.098608
17,BBC Radio 1,BTS - Dynamite in the Live Lounge,2021-07-27T11:15:00Z,6160192,17732,708368,3978,2021-07-31T14:37:06.098608
18,Shiloh & Bros,Dumb Ways To Die In Among Us *Song*,2021-07-30T15:00:33Z,1116632,6394,40465,970,2021-07-31T14:37:06.098608
19,Morray,Morray - Trenches Remix [Feat. Polo G] (Official Music Video),2021-07-30T04:00:09Z,657740,2646,48547,388,2021-07-31T14:37:06.098608
20,Real Civil Engineer,Using UNLIMITED ROUNDABOUTS to fix gridlocked traffic? Mini Motorways!,2021-07-30T15:00:01Z,353289,986,21240,194,2021-07-31T14:37:06.098608
21,Yes Theory,ASKING 30 STRANGERS TO SLEEP IN A CASTLE!!,2021-07-30T17:00:08Z,351725,2230,34335,184,2021-07-31T14:37:06.098608
22,AMOGUS_ MINECRAFTER,Episode 1- The Features That Got Cut | Видео с канала Minecraft,2021-07-30T17:07:15Z,435242,4214,47249,660,2021-07-31T14:37:06.098608
23,Toosii2xVEVO,Toosii Feat. Fivio Foreign - spin music (Official Video),2021-07-30T04:00:07Z,659724,1128,21956,192,2021-07-31T14:37:06.098608
24,SamSpedy,AFRICAN HOME: TELEPORTER (PART 2),2021-07-30T16:59:00Z,453593,2278,27821,281,2021-07-31T14:37:06.098608
25,NBA on ESPN,Stephen A. reacts to the Lakers eyeing a trade for Russell Westbrook | SportsCenter,2021-07-30T00:00:12Z,330694,1236,3794,153,2021-07-31T14:37:06.098608
26,NBA,All 30 First Round Picks | 2021 #NBADraft,2021-07-30T03:34:27Z,936762,2045,20049,334,2021-07-31T14:37:06.098608
27,GeorgeNotFound,"Minecraft, But Mobs Try And Kidnap My Friends...",2021-07-30T22:30:11Z,2644620,13712,284709,2266,2021-07-31T14:37:06.098608
28,Manchester United,Elanga &amp; Pereira score stunners in cracking Old Trafford draw | Manchester United 2-2 Brentford,2021-07-28T22:30:02Z,1548785,1427,27971,434,2021-07-31T14:37:06.098608
29,First We Feast,Lorde Drops the Mic While Eating Spicy Wings | Hot Ones,2021-07-29T15:00:31Z,1567989,10642,80877,747,2021-07-31T14:37:06.098608
30,Dude Perfect,Trying to Bench 405 lbs Underwater | OT 28,2021-07-26T21:59:56Z,8686457,32998,345745,8820,2021-07-31T14:37:06.098608
31,JackManifoldTV,We Tried The World&#39;s Weirdest Sport...,2021-07-30T19:00:05Z,917073,6868,185652,279,2021-07-31T14:37:06.098608
32,brewstewfilms,Brewstew - YO-YO&#39;S In The 90&#39;s,2021-07-29T21:58:23Z,513362,3680,42063,169,2021-07-31T14:37:06.098608
33,Dax,Dax - &quot;Child Of God&quot; (Official Music Video),2021-07-29T18:01:28Z,481367,10271,66791,975,2021-07-31T14:37:06.098608
34,Fundy,I got Trapped in a room with Wilbur Soot,2021-07-28T13:17:29Z,2850877,16697,430343,2387,2021-07-31T14:37:06.098608
35,Vogue,"Every Outfit Emma Chamberlain Wears in a Week | 7 Days, 7 Looks | Vogue",2021-07-30T16:00:04Z,445101,1494,42674,329,2021-07-31T14:37:06.098608
36,PrestonPlayz,Minecraft if You Could Fish YouTubers...,2021-07-29T21:21:24Z,1622063,4407,48265,1513,2021-07-31T14:37:06.098608
37,QuackiTwo,I Recreated The DreamSMP on The Sims,2021-07-29T20:15:10Z,549771,2417,78514,366,2021-07-31T14:37:06.098608
