,username,video_title,publish_time,view_count,comment_count,like_count,dislike count,api_call_time
0,BillieEilishVEVO,Billie Eilish - NDA (Official Music Video),2021-07-09T04:00:09Z,9910495,81812,986704,23209,2021-07-11T14:37:06.317296
1,TheKidLAROIVEVO,"The Kid LAROI, Justin Bieber - Stay (Official Video)",2021-07-09T04:00:12Z,6732304,39026,535675,6006,2021-07-11T14:37:06.317296
2,MR BEAST,"will you drop out of school for $100,000",2021-07-10T21:12:27Z,13742262,50398,950335,7995,2021-07-11T14:37:06.317296
3,Goodwin Family,Bringing Down the House #shorts,2021-07-04T06:47:53Z,37639931,4135,1008112,59367,2021-07-11T14:37:06.317296
4,Louis Vuitton,Backstage with BTS at Virgil Abloh&#39;s Men&#39;s Fall-Winter 2021 Show in Seoul | LOUIS VUITTON,2021-07-10T02:00:11Z,2038433,9557,429846,1034,2021-07-11T14:37:06.317296
5,BT Sport,&quot;This guy is a dirtbag!&quot; Dustin Poirier on Conor McGregor after heated UFC 264 main event.,2021-07-11T04:43:13Z,4010430,10836,56677,3480,2021-07-11T14:37:06.317296
6,Rusher King,"Rusherking, Duki - BAILANDO TE CONOCI (Official Video)",2021-07-08T23:00:14Z,4856234,15869,450480,3479,2021-07-11T14:37:06.317296
7,Genshin Impact,Version 2.0 &quot;The Immovable God and the Eternal Euthymia&quot; Trailer | Genshin Impact,2021-07-09T13:30:06Z,2790257,21326,269485,645,2021-07-11T14:37:06.317296
8,Sanjay 10,Argentina-Champion Copa America 2021 after 28 years|Highlights and Celebration|Sanjay Hitan,2021-07-11T04:43:43Z,2478852,3061,43323,829,2021-07-11T14:37:06.317296
9,Steak CF,Scrim Clips 18,2021-07-11T11:10:20Z,4815575,21417,367680,8487,2021-07-11T14:37:06.317296
10,Veritasium,The Biggest Myth In Education,2021-07-09T14:27:22Z,3763839,21433,212648,4305,2021-07-11T14:37:06.317296
11,BasVEVO,Bas - The Jackie (ft. J. Cole &amp; Lil Tjay) [Official Video],2021-07-09T16:00:11Z,1814552,9111,135556,1220,2021-07-11T14:37:06.317296
12,MrBeast Gaming,Walking Across The Entire Universe!,2021-07-08T18:00:06Z,8698485,26831,423752,7922,2021-07-11T14:37:06.317296
13,Alan Becker,Epic Moments - Animation vs. Minecraft (Series 1),2021-07-10T12:01:50Z,1787475,4985,123109,1542,2021-07-11T14:37:06.317296
14,DreamXD,Dream - Minecraft Manhunt Extra Scenes (5 Hunters Rematch),2021-07-08T23:30:25Z,2425880,10496,239653,1237,2021-07-11T14:37:06.317296
15,LukeHemmingsVEVO,Luke Hemmings - Starting Line (Official Video),2021-07-09T21:00:11Z,436946,8896,109356,135,2021-07-11T14:37:06.317296
16,DanTDM,DANTDM ANIMATED FUNNY MOMENTS,2021-07-10T17:00:08Z,879029,5259,100977,276,2021-07-11T14:37:06.317296
17,BIAVEVO,BIA - WHOLE LOTTA MONEY (Remix - Official Audio) ft. Nicki Minaj,2021-07-08T20:14:45Z,1624951,11352,117908,2149,2021-07-11T14:37:06.317296
18,BrentTV,Mining 20 Minecraft Mining Kits! (1/48 have a Rare Golden Creeper!),2021-07-10T00:16:05Z,2892104,23547,234046,2708,2021-07-11T14:37:06.317296
19,twenty one pilots,Twenty One Pilots - Saturday (Official Video),2021-07-08T16:00:15Z,2883407,13759,244401,1363,2021-07-11T14:37:06.317296
20,UFC - Ultimate Fighting Championship,UFC 264: Ceremonial Weigh-in | Poirier vs McGregor 3,2021-07-10T00:00:41Z,2949373,7077,56067,1123,2021-07-11T14:37:06.317296
21,The Try Guys,Try Guys Bake Muffins Without A Recipe,2021-07-10T15:00:03Z,838924,3407,54669,388,2021-07-11T14:37:06.317296
22,Santan Dave,Dave - Clash (ft. Stormzy),2021-07-09T11:20:45Z,1805645,7220,114141,1871,2021-07-11T14:37:06.317296
23,Marvel Entertainment,Marvel Studios&#39; What If...? | Official Trailer | Disney+,2021-07-08T16:00:02Z,8376132,23374,468091,5821,2021-07-11T14:37:06.317296
24,RDCworld1,MEETING J COLE FOR THE FIRST TIME!!!!!!,2021-07-10T00:28:18Z,1103578,12012,152731,240,2021-07-11T14:37:06.317296
25,AK4:20,AK4:20 - THE ROOKIE - (PRODBY LEOJAHBEATS),2021-07-09T20:15:12Z,391535,2359,47018,345,2021-07-11T14:37:06.317296
26,ESPN,Conor McGregor admits he was ‘looking past’ Poirier in their second fight #UFC264 | #shorts,2021-07-08T21:17:51Z,1237134,8560,38988,1794,2021-07-11T14:37:06.317296
27,America's Got Talent,Golden Buzzer: 9-Year-Old Victory Brinker Makes AGT HISTORY! - America&#39;s Got Talent 2021,2021-07-07T01:58:39Z,7347431,10207,146396,4109,2021-07-11T14:37:06.317296
28,Netflix,The Witcher: Season 2 Teaser Trailer | Netflix,2021-07-09T20:53:22Z,2490113,7219,143396,1752,2021-07-11T14:37:06.317296
29,MORGENSHTERN,"MORGENSHTERN - NOMINALO (Official Video, 2021)",2021-07-06T20:05:00Z,7818464,55541,688375,37325,2021-07-11T14:37:06.317296
30,Fight Focus,What ACTUALLY HAPPENED at UFC 264 (Conor McGregor Vs Dustin Poirier 3) Full Fight + Highlights Recap,2021-07-11T07:23:47Z,1399879,2419,11998,5314,2021-07-11T14:37:06.317296
31,Ryan Trahan,Overnight in the World&#39;s Oldest Underwater Hotel,2021-07-09T17:00:01Z,947453,3460,47470,495,2021-07-11T14:37:06.317296
32,BD10HD,Lionel Messi Celebrations &amp; Crazy Moments After Winning !,2021-07-11T03:27:00Z,937152,1810,27725,440,2021-07-11T14:37:06.317296
33,Ed Sheeran,Ed Sheeran - Bad Habits [Official Video],2021-06-25T04:00:33Z,55446998,88712,1472212,51130,2021-07-11T14:37:06.317296
34,Truecaller,Call up to 8 people with Truecaller,2021-06-23T06:00:19Z,1547784,368,10273,2000,2021-07-11T14:37:06.317296
35,RealLifeLore,What If We Covered the Sahara With Solar Panels?,2021-07-09T14:30:00Z,1601711,7407,60377,1515,2021-07-11T14:37:06.317296
36,All Blacks,HIGHLIGHTS: All Blacks v Fiji  (Dunedin 2021),2021-07-10T09:27:54Z,404401,1086,4564,145,2021-07-11T14:37:06.317296
37,Louis Vuitton,Men&#39;s Fall-Winter 2021 Show in Seoul with House Ambassadors BTS | LOUIS VUITTON,2021-07-07T10:11:40Z,5138013,31877,851859,3203,2021-07-11T14:37:06.317296
38,OfficialArdianBujupi,Ardian Bujupi X Finem - ADRENALINA (prod. by MB &amp; Unleaded),2021-07-08T22:00:09Z,730560,2152,30128,993,2021-07-11T14:37:06.317296
39,MOZZIK,Mozzik - Dashni me Photoshop (prod. by Pzy &amp; Rzon) [Official Video],2021-07-08T22:00:11Z,1105629,1506,33936,1755,2021-07-11T14:37:06.317296
40,IDJVideos.TV,VOYAGE X SNIK - BOUNCE (OFFICIAL VIDEO),2021-07-04T10:00:10Z,5461039,7527,107940,5586,2021-07-11T14:37:06.317296
41,IMPERIA,Buba Corelli - Irina Shayk (Official Video),2021-07-07T18:43:10Z,3040472,4708,65666,3629,2021-07-11T14:37:06.317296
42,Sanjay 10,Argentina-Champion Copa America 2021 after 28 years|Highlights and Celebration|Sanjay Hitan,2021-07-11T04:43:43Z,1529895,2283,25964,837,2021-07-11T14:37:06.317296
43,ArianaGrandeVevo,Ariana Grande - safety net ft. Ty Dolla $ign (Official Live Performance) | Vevo,2021-07-07T16:00:22Z,5019774,29539,470981,3814,2021-07-11T14:37:06.317296
44,UFC - Ultimate Fighting Championship,UFC 264: Post-fight Press Conference,2021-07-11T06:33:15Z,2840885,6008,43682,1210,2021-07-11T14:37:06.317296
45,BBC Music,KSI - Holiday (Special Performance For The One Show),2021-07-09T18:30:41Z,393010,3157,32697,472,2021-07-11T14:37:06.317296
46,Capital Bra,CAPITAL BRA x KING KHALIL - DIE ZWEI KENN ICH (prod. by Beatzarre &amp; Djorkaeff),2021-07-08T22:00:11Z,1006247,6439,87186,1941,2021-07-11T14:37:06.317296
