,username,video_title,publish_time,view_count,comment_count,like_count,dislike count,api_call_time
0,BBC Radio 1,"BTS - I&#39;ll Be Missing You (Puff Daddy, Faith Evans and Sting Cover) in the Live Lounge",2021-07-27T11:15:13Z,7922528,69932,1053886,6368,2021-07-30T14:37:06.183942
1,EA SPORTS FIFA,FIFA 22 | Official Gameplay Trailer,2021-07-29T15:00:11Z,933199,3854,59717,4265,2021-07-30T14:37:06.183942
2,BBC Radio 1,BTS - Permission To Dance in the Live Lounge,2021-07-27T11:15:01Z,6408740,20642,760122,3491,2021-07-30T14:37:06.183942
3,BBC Radio 1,BTS - Dynamite in the Live Lounge,2021-07-27T11:15:00Z,5630601,17280,684362,3700,2021-07-30T14:37:06.183942
4,LilNasXVEVO,"Lil Nas X, Jack Harlow - INDUSTRY BABY (Official Video)",2021-07-23T04:00:12Z,48396116,230898,2447742,167910,2021-07-30T14:37:06.183942
5,ImTheWatcher,"TIME TO SKATE!!!! REACTING to SILK SONIC | BRUNO MARS, ANDERSON PAAK. | SKATE (Official Video)",2021-07-30T07:34:09Z,2056330,18029,298028,1169,2021-07-30T14:37:06.183942
6,MrBeast,"If You Can Carry $1,000,000 You Keep It!",2021-07-24T20:00:59Z,25928835,52044,1279740,13453,2021-07-30T14:37:06.183942
7,POPSMOKEVEVO,Pop Smoke - Demeanor feat. Dua Lipa (Official Video),2021-07-29T16:00:10Z,1203634,7082,103003,1940,2021-07-30T14:37:06.183942
8,Jackson Wang,"Jackson Wang, Internet Money - Drive You Home (Official Music Video)",2021-07-29T04:00:11Z,6033663,26850,372896,970,2021-07-30T14:37:06.183942
9,Silver,I Survived 100 Days as a SHAPESHIFTER in Minecraft...,2021-07-29T16:45:00Z,1390859,6434,70884,985,2021-07-30T14:37:06.183942
10,Fundy,I got Trapped in a room with Wilbur Soot,2021-07-28T13:17:29Z,2290572,15082,377912,2021,2021-07-30T14:37:06.183942
11,KHON2 News,Hawaii under Tsunami Watch after 8.1 earthquake off Alaska,2021-07-29T07:17:06Z,488785,1082,6085,178,2021-07-30T14:37:06.183942
12,Dude Perfect,Trying to Bench 405 lbs Underwater | OT 28,2021-07-26T21:59:56Z,8207271,32258,335355,8462,2021-07-30T14:37:06.183942
13,ZHC Crafts,"Best Play Doh Art Wins $5,000 Challenge! | ZHC Crafts",2021-07-29T17:39:54Z,1726017,11657,99640,1201,2021-07-30T14:37:06.183942
14,First We Feast,Lorde Drops the Mic While Eating Spicy Wings | Hot Ones,2021-07-29T15:00:31Z,1039537,8513,60467,558,2021-07-30T14:37:06.183942
15,Manchester United,Elanga &amp; Pereira score stunners in cracking Old Trafford draw | Manchester United 2-2 Brentford,2021-07-28T22:30:02Z,1403638,1373,26699,387,2021-07-30T14:37:06.183942
16,The Sun,Alaska on Tsunami warning after massive 8.2 magnitude earthquake strikes off US coast,2021-07-29T10:37:46Z,387372,693,3583,325,2021-07-30T14:37:06.183942
17,SSundee,GROWING UP Mod in Among Us,2021-07-29T16:00:09Z,3583031,9038,294377,2736,2021-07-30T14:37:06.183942
18,NBA,All 30 First Round Picks | 2021 #NBADraft,2021-07-30T03:34:27Z,529383,1475,13967,229,2021-07-30T14:37:06.183942
19,DreamXD,Dream - Minecraft Manhunt Assassins Extra Scenes,2021-07-28T00:19:20Z,1678784,8359,186682,1109,2021-07-30T14:37:06.183942
20,Guardian Sport,&#39;There was a lot of time I wanted to quit&#39;: Sunisa Lee on winning gymnastics all-around gold,2021-07-29T16:26:34Z,289456,1171,4883,79,2021-07-30T14:37:06.183942
21,Tottenham Hotspur,"Heung-min Son, Dele and Lucas Moura score in pre-season win | Highlights | MK Dons 1-3 Spurs",2021-07-28T23:00:37Z,748991,1917,15144,238,2021-07-30T14:37:06.183942
22,William Osman,EGG DROP - William Osman vs Boyinaband,2021-07-29T14:00:00Z,301694,1473,30657,294,2021-07-30T14:37:06.183942
23,Unspeakable,LAST To LEAVE 100 Buttons But Only ONE Escapes!,2021-07-28T19:00:13Z,2613110,5609,55280,1758,2021-07-30T14:37:06.183942
24,ZHC,I Surprised Bella Poarch With 20 Custom Macbooks,2021-07-26T17:30:46Z,11023301,57497,514986,9078,2021-07-30T14:37:06.183942
25,A la Mich,TERMINO A EDDIE (TERMINA MAL) - Its.michhh,2021-07-26T20:59:21Z,702952,1139,62446,883,2021-07-30T14:37:06.183942
26,Lady Gaga,HOUSE OF GUCCI | Official Trailer,2021-07-30T00:19:25Z,774412,8592,110019,565,2021-07-30T14:37:06.183942
27,TesherVEVO,Tesher x Jason Derulo - Jalebi Baby (Official Video),2021-07-13T15:00:11Z,34482541,40512,1321601,22451,2021-07-30T14:37:06.183942
28,Milena Warthon,Milena Warthon - Mashup Peruano (Junto a ustedes),2021-07-28T14:00:12Z,308526,468,17500,336,2021-07-30T14:37:06.183942
29,Vanity Fair,The Cast of &#39;Outer Banks&#39; Takes a Lie Detector Test | Vanity Fair,2021-07-28T16:00:17Z,343905,388,17202,88,2021-07-30T14:37:06.183942
30,Aditi Sharma,Middle Class Family Ki First Flight || Aditi Sharma,2021-07-27T05:30:36Z,2114573,1454,27988,6263,2021-07-30T14:37:06.183942
31,Generacija Zed,VOYAGE x NUCCI - BALKAN (OFFICIAL VIDEO) Prod. by Popov,2021-07-29T10:33:50Z,1117433,3800,78926,1877,2021-07-30T14:37:06.183942
32,Jerry Boy Velarde,Why &quot;Herlene Budol&quot; Is Back To Zero | Toni Talks,2021-07-26T12:28:18Z,6639333,20478,455810,3223,2021-07-30T14:37:06.183942
33,Bollywood Events,"NTR, Pooja Hegde Hindi Action Movie | #SouthDubbedHindiMovies",2021-07-23T14:04:00Z,14770700,1361,111930,11788,2021-07-30T14:37:06.183942
34,Sidemen,SIDEMEN EXTREME FISHING vs LOGAN PAUL,2021-07-18T17:01:58Z,14307623,43329,847169,7268,2021-07-30T14:37:06.183942
35,Nour Younes,Haircut,2021-07-27T22:18:08Z,200274,55,3381,359,2021-07-30T14:37:06.183942
36,BillieEilishVEVO,Billie Eilish - Happier Than Ever (Official Lyric Video),2021-07-30T04:00:23Z,858285,15033,174023,964,2021-07-30T14:37:06.183942
37,Rubius Z,EL FINAL DE SIREN HEAD | Siren Head Resurrection #2 (FINAL),2021-07-26T16:22:05Z,2065298,4321,213247,1159,2021-07-30T14:37:06.183942
38,Beast Philanthropy,We Fed Five Cities in 30 Days!,2021-07-27T20:00:21Z,3245126,19785,443966,1279,2021-07-30T14:37:06.183942
39,The Modern Singhs,SURPRISE PREGNANCY ANNOUNCEMENT - Telling My Husband I&#39;m Pregnant Again *EMOTIONAL VLOG*,2021-07-29T05:57:37Z,1111012,4295,62448,754,2021-07-30T14:37:06.183942
40,#GM2LTV,HIGH League - I Konferencja,2021-07-28T21:04:40Z,1680089,1566,58494,1387,2021-07-30T14:37:06.183942
41,Seb,"watching grass grow, but literally.",2021-07-27T08:11:18Z,690440,685,44195,813,2021-07-30T14:37:06.183942
42,TrixyBlox,Upgrading The ENTIRETY of Minecraft - The ULTIMATE Survival World | Part 3,2021-07-27T17:00:20Z,1620282,19044,311343,971,2021-07-30T14:37:06.183942
