,username,video_title,publish_time,view_count,comment_count,like_count,dislike count,api_call_time
0,TheWeekndVEVO,The Weeknd - Take My Breath (Official Music Video),2021-08-06T04:00:09Z,12126405,41412,641020,7812,2021-08-09T08:37:09.364826
1,Dorothy Plays Today,Ariande Grande Rift Tour Fortnite!,2021-08-08T15:18:01Z,1483620,15499,254166,1663,2021-08-09T08:37:09.364826
2,German Football,3 Goals! Haaland unstoppable | Wiesbaden vs. Borussia Dortmund 0-3 | Highlights | DFB-Pokal 1. Round,2021-08-07T21:40:14Z,662643,702,16474,217,2021-08-09T08:37:09.364826
3,Guardian Football,&#39;I am here to say goodbye&#39;: Lionel Messi tearful as Barcelona exit looms,2021-08-08T11:15:45Z,1212867,2363,24148,462,2021-08-09T08:37:09.364826
4,MrBeast,I Got Hunted By The FBI,2021-08-07T23:00:03Z,17675222,58341,1311766,10964,2021-08-09T08:37:09.364826
5,Manchester United,Rampant Reds hit Everton for four | Manchester United 4-0 Everton | Highlights | Pre-Season 21/22,2021-08-07T16:00:08Z,2791297,2310,59231,868,2021-08-09T08:37:09.364826
6,Tottenham Hotspur,Heung-min Son scores the winner against Arsenal! HIGHLIGHTS | SPURS 1-0 ARSENAL,2021-08-08T16:59:21Z,788126,2127,17669,388,2021-08-09T08:37:09.364826
7,PlastiVerse,"CREANDO TODOS los MODS de FNF (Tord, Shaggy, Tiky, Matt, Expurgation) de Plastilina #3 | PlastiVerse",2021-08-04T19:30:09Z,1427416,4084,31300,1074,2021-08-09T08:37:09.364826
8,The Emirates FA Cup,Leicester City vs Manchester City | Key Moments | Community Shield 2021,2021-08-07T20:41:21Z,751062,909,12424,209,2021-08-09T08:37:09.364826
9,Netflix Latinoamérica,Stranger Things 4 | Primer vistazo | Netflix,2021-08-06T13:00:00Z,625288,1553,31020,282,2021-08-09T08:37:09.364826
10,Everyday Astronaut,Starbase Tour with Elon Musk [PART 2],2021-08-07T14:59:56Z,1014240,6818,63307,471,2021-08-09T08:37:09.364826
