,username,video_title,publish_time,view_count,comment_count,like_count,dislike count,api_call_time
0,Wisin,"Wisin, Jhay Cortez, Anuel - &quot;Fiel Remix&quot; (Official Video)  ft. Myke Towers, Los Legendarios",2021-06-15T22:00:10Z,9141849,34621,516933,14879,2021-06-18T08:37:07.436010
1,Coltyy,CATCHING THE CRIMINAL WHO BROKE INTO MY CAR! #shorts,2021-06-09T07:39:11Z,22277523,13717,1269476,29236,2021-06-18T08:37:07.436010
2,Arastey,Brawl Stars Animation Parody,2021-06-18T08:00:12Z,3377292,12388,304328,2560,2021-06-18T08:37:07.436010
3,America's Got Talent,Golden Buzzer: World Taekwondo Demonstration Team Shocks the Judges - America&#39;s Got Talent 2021,2021-06-16T02:57:38Z,5421945,12212,183855,2180,2021-06-18T08:37:07.436010
4,CheliTeam,CHELI HOME | HOUSE TOUR,2021-06-17T00:04:30Z,647668,1517,51420,885,2021-06-18T08:37:07.436010
5,ChippyGaming,Zelda Breath of the Wild 2 Trailer - Breakdown and Explanation! (E3 2021),2021-06-15T19:36:15Z,4550691,30864,268059,3014,2021-06-18T08:37:07.436010
6,MrBeast,"Make THIS Shot, Win $300,000",2021-06-12T20:00:01Z,28277167,69093,1497305,19992,2021-06-18T08:37:07.436010
7,Brawl Stars,Brawl Stars Animation - Buzz Saves the Day! - #JurassicSplash,2021-06-16T06:27:45Z,4220629,16002,281460,2115,2021-06-18T08:37:07.436010
8,Tsuriki Show,Try your luck challenge with Tsuriki Show #shorts,2021-06-16T04:55:00Z,6753487,707,185485,12189,2021-06-18T08:37:07.436010
9,J Balvin,"J. Balvin, KAROL G, Nicky Jam Feat. Crissin, Totoy El Frio, Natan &amp; Shander/ Poblado (Remix) TRAILER",2021-06-17T00:11:57Z,400593,1176,23428,476,2021-06-18T08:37:07.436010
10,rohmanujagad,|Naik Odong-Odong Mewah di Pasar Malam| sampai larut malam gak mau turun |,2021-06-14T16:41:30Z,797591,10530,101091,1208,2021-06-18T08:37:07.436010
11,SupraPixel,PUDIMOS INSTALAR WINDOWS 11!!,2021-06-16T15:25:14Z,333008,3507,35037,599,2021-06-18T08:37:07.436010
12,JYP Entertainment,TWICE &quot;Alcohol-Free&quot; M/V,2021-06-09T08:58:12Z,86205164,971005,2697933,64284,2021-06-18T08:37:07.436010
13,The Late Late Show with James Corden,James Corden Visits the Cast at the &#39;Friends&#39; Reunion,2021-06-17T04:53:24Z,1272967,1970,52783,605,2021-06-18T08:37:07.436010
14,MORGENSHTERN,"MORGENSHTERN - ARISTOCRAT (Official Video, 2021)",2021-06-15T10:30:03Z,9191124,46245,743424,52444,2021-06-18T08:37:07.436010
15,America's Got Talent,Golden Buzzer: Nightbirde&#39;s Original Song Makes Simon Cowell Emotional - America&#39;s Got Talent 2021,2021-06-09T02:01:09Z,21134077,44398,683601,6376,2021-06-18T08:37:07.436010
16,Zamir Villamil,HICE BEBIDAS AeStHeTiK FAMOSAS EN MI CASA,2021-06-17T00:00:01Z,175172,934,25606,111,2021-06-18T08:37:07.436010
17,Garbaj,A Sneaky Trick Most FPS Games Use,2021-06-07T14:00:05Z,9633068,4965,703378,9000,2021-06-18T08:37:07.436010
18,Veritasium,The Longest-Running Evolution Experiment,2021-06-16T15:36:29Z,2256112,13647,136505,2474,2021-06-18T08:37:07.436010
19,FaZe Clan,The Knockout (Official FaZe Clan Documentary PT.2),2021-06-17T01:16:22Z,1352826,5041,84817,709,2021-06-18T08:37:07.436010
20,boburnham,All Eyes On Me -- Bo Burnham (from &quot;Inside&quot; - album out now),2021-06-16T17:58:46Z,1123324,8761,109273,405,2021-06-18T08:37:07.436010
21,Miniminter,An Honest Review of YouTube Vs Tiktok Boxing Event,2021-06-15T18:00:05Z,1780727,2589,131827,1050,2021-06-18T08:37:07.436010
22,Dee Vida,TATI&#39;S TEA WITH JAMES,2021-06-18T03:24:32Z,1108043,36145,168196,4920,2021-06-18T08:37:07.436010
23,Polo G,Polo G - Party Lyfe (Feat. DaBaby) [Official Video],2021-06-16T23:30:10Z,1080317,9643,110898,751,2021-06-18T08:37:07.436010
24,Tom Simons,Riding The Craziest Roller Coaster In England,2021-06-15T14:07:29Z,6147991,73767,713502,4436,2021-06-18T08:37:07.436010
25,One Sports,FIBA Asia Cup 2021 Qualifiers: Gilas Pilipinas highlights vs South Korea,2021-06-16T15:16:44Z,876984,1849,12631,389,2021-06-18T08:37:07.436010
