,user_name,game_name,title,viewer_count,started_at,api_call_time
0,BLASTPremier,Counter-Strike: Global Offensive,LIVE: Gambit vs Evil Geniuses - BLAST Premier Spring Final 2021,57124,2021-06-15 12:13:06,2021-06-15T15:06:02.769063
1,RocketLeague,Rocket League,Solary vs Team Queso | EU RLCS X Championship | Round 1,53178,2021-06-15 14:19:26,2021-06-15T15:06:02.769063
2,CohhCarnage,Ratchet & Clank: Rift Apart,"Ratchet & Clank: Rift Apart (My first R&C game!) - !Birthday (Charity Stream, June 25th) - !NewHouseMonth - #EpicPartner Creator Code: COHH",22663,2021-06-15 11:54:25,2021-06-15T15:06:02.769063
3,Asmongold,World of Warcraft,IM BACK--BIG DAY--ARENAS OPEN--KARAZHAN--GRUUL MAYBE? IDK--DRAMA AGAIN LMAO--VIEWER EVENTS,22264,2021-06-15 14:38:05,2021-06-15T15:06:02.769063
4,Tfue,Call of Duty: Warzone,2v2 Wagers for $$$ (9.69 KD),22194,2021-06-15 11:02:44,2021-06-15T15:06:02.769063
5,Hiko,VALORANT,100T Hiko | Good vibes only :) | @Hiko on Twitter,19852,2021-06-15 13:37:36,2021-06-15T15:06:02.769063
6,Fextralife,Stranger of Paradise: Final Fantasy Origin,!ff7giveaway STRANGER of PARADISE with CAS!,17038,2021-06-15 09:04:49,2021-06-15T15:06:02.769063
7,Amouranth,ASMR,👅👂EARLICKING ASMR🍑SHAMELESS💦!s !social💦!instagram: @amouranth💦!GFUEL💦,15955,2021-06-15 04:13:12,2021-06-15T15:06:02.769063
8,ShivFPS,Apex Legends,"DEATHBOX PC IS BACK, SOLO QUEUE INTO TUESDAY LG STREAMS (APEX AND SLAYVS WARZONE AT 11PM BST) | !Socials for updates !gfuel !exitlag",13275,2021-06-15 11:46:51,2021-06-15T15:06:02.769063
9,Kyle,Grand Theft Auto V,Sheriff Kyle Pred - nopixel,12044,2021-06-15 12:32:54,2021-06-15T15:06:02.769063
10,Symfuhny,Call of Duty: Warzone,INSANE HIGH KILL WINS CLICK NOW!!! TTS ON!,10285,2021-06-15 09:37:11,2021-06-15T15:06:02.769063
11,W2S,F1 2020,W2S PLAYS F1,10170,2021-06-15 13:39:50,2021-06-15T15:06:02.769063
12,lol_nemesis,League of Legends,"Sick and tired of losing, gonna win games for once 🤢  !blitzgg !nord !video",9698,2021-06-15 10:47:51,2021-06-15T15:06:02.769063
13,supercatkei,Music,🎵  Slow tunes with ukubaby !sl | NEW EMOTES | !socials !pobox !discord,9597,2021-06-15 10:45:30,2021-06-15T15:06:02.769063
14,E3,Special Events,E3 2021 - Day Three,9337,2021-06-15 15:00:57,2021-06-15T15:06:02.769063
15,IGN,Special Events,"Nintendo Direct + Treehouse, Bandai Namco & More E3 2021 Showcases Livestream | Summer of Gaming

",9031,2021-06-15 12:00:11,2021-06-15T15:06:02.769063
16,its_iron,Call of Duty: Warzone,Battle Royale School is in session | !Merch !GFUEL !Evolve !Metaview !Kovaak,8592,2021-06-15 02:17:25,2021-06-15T15:06:02.769063
17,Quin69,Just Chatting,THE FINAL DAY OF E3 POGGIES!!! NINTENDO & BANDAI NAMCO - TERRARIA GAMEPLAY = TODAY.,8350,2021-06-15 14:03:44,2021-06-15T15:06:02.769063
18,GCXEvent,Just Chatting,GCX'21 Charity Marathon | BrickinNick | Powered by Logitech G | !charity !donate,8337,2021-06-15 08:00:18,2021-06-15T15:06:02.769063
19,BATTLEFIELD,Battlefield 2042,// BATTLEFIELD BRIEFING // WELCOME TO 2042,8203,2021-06-15 14:53:51,2021-06-15T15:06:02.769063
20,Tectone,Genshin Impact,GIFTED SUBS EVERY HOUR :D CHECKING OUT NEW PART 3 OF EVENT! E3 NINTENDO WATCH PARTY :DDD TWITCH JUST PAID ME POGGERS ,7690,2021-06-15 12:30:12,2021-06-15T15:06:02.769063
21,RATIRL,Just Chatting,👽 RATIRL Quit league Talking about future variety !Gfuel d positivty + coffee + cupcake with a slice of  life inside it,7587,2021-06-15 10:19:52,2021-06-15T15:06:02.769063
22,Enviosity,Genshin Impact,BIG SUMMONS ON GIVEAWAY WINNERS TODAY :D | !gfuel | Day 262,7244,2021-06-15 13:18:50,2021-06-15T15:06:02.769063
23,AbdulHD,Grand Theft Auto V,"Abdul ""Elections Aftermath"" !NoPixel !SneakEnergy #11KAndy #ToxicFree #GoodVibes #ChillStream [#1 UAE] !Mayor",6923,2021-06-15 11:28:43,2021-06-15T15:06:02.769063
24,DeuceAce,Slots,"🌰 €291.000 Buys & €163.000 Bonus Hunt 🌰 !GAMDOM use code ""JAY"" for free money raffles every 15min✨",6845,2021-06-15 07:27:22,2021-06-15T15:06:02.769063
25,RduLIVE,Hearthstone,I'M BACK! Goal is Top10 EU,6580,2021-06-15 11:00:58,2021-06-15T15:06:02.769063
26,TheStockGuy,Just Chatting,I think they're watching me....  | !invest !platform !DHDR !VPN !stockdraft !challenge,6384,2021-06-15 13:25:51,2021-06-15T15:06:02.769063
27,ROSHTEIN,Slots,"⭐ BONUS BUY + HUNT 💠USE !GAMDOM use code ""ROSH"" to be eligible for free money raffle",6263,2021-06-15 14:34:00,2021-06-15T15:06:02.769063
28,DropsByPonk,Minecraft,Dream SMP --> woo ,6158,2021-06-15 14:49:46,2021-06-15T15:06:02.769063
29,TrU3Ta1ent,Dead by Daylight,NEW CHAPTER IS NOW! GTF IN HERE! NEMESIS ALL DAY! Before that !sellout killer / survivor rotation! No cam coz sun burn :D,5165,2021-06-15 12:24:45,2021-06-15T15:06:02.769063
30,Elajjaz,Mass Effect 3,First time Mass Effect 3 (Day 2) - !Displate @Elajjaz Twitter/Instagram,5040,2021-06-15 13:59:26,2021-06-15T15:06:02.769063
31,TFBlade,League of Legends,Multi Server Rank 1 and now also becoming Multi Role Challenger,4978,2021-06-15 12:43:59,2021-06-15T15:06:02.769063
32,Zizaran,Path of Exile,Gauntlet Day 4! | !cast !casters !gauntlet !bounties | Merch: shop.zizaran.com,4976,2021-06-15 13:28:32,2021-06-15T15:06:02.769063
33,buckefps,Fortnite,CONDITIONING MYSLEF TO BEAT MARZ ON JUNE 22ND DAY 4/14| !june22 !subathon,4809,2021-06-14 16:24:31,2021-06-15T15:06:02.769063
34,NymN,Until Dawn,FIRST TIME PLAYING THIS GAME | !NORD,4652,2021-06-15 11:52:38,2021-06-15T15:06:02.769063
35,uhSnow,Grand Theft Auto V,Trooper Snow | NoPixel WL | discord.gg/Snow,4595,2021-06-15 12:35:48,2021-06-15T15:06:02.769063
36,JokerdTV,World of Warcraft,SOLO HC SP Mage Content and Hunter Leveling =) <Method> !steelseries - !tbcgiveaway,4563,2021-06-15 09:36:55,2021-06-15T15:06:02.769063
37,Anna_Chess,Chess,HEART RATE MONITOR Bullet Speedrun!! Later: gaming with JustaMinx!! <3 !today,4539,2021-06-15 13:01:44,2021-06-15T15:06:02.769063
38,csharpfritz,Science & Technology,"Blazor, Azure, and MySQL with !kliptok",4499,2021-06-15 13:02:46,2021-06-15T15:06:02.769063
