,username,video_title,publish_time,view_count,comment_count,like_count,dislike count,api_call_time
0,LilNasXVEVO,"Lil Nas X, Jack Harlow - INDUSTRY BABY (Official Video)",2021-07-23T04:00:12Z,7526149,81308,867743,20825,2021-07-23T20:37:06.505726
1,Battlefield,Battlefield 2042 | Battlefield Portal Official Trailer,2021-07-22T17:44:43Z,2256138,16652,202790,2879,2021-07-23T20:37:06.505726
2,Myke Towers,Myke Towers - Almas Gemelas (Video Oficial),2021-07-23T00:00:43Z,846671,4075,100157,698,2021-07-23T20:37:06.505726
3,FeidVEVO,FEID - Tengo Fe (Official Video),2021-07-23T00:00:10Z,465596,3044,62806,287,2021-07-23T20:37:06.505726
4,Warner Bros. Pictures,Dune | Official Main Trailer,2021-07-22T13:00:04Z,5444085,16528,177115,3026,2021-07-23T20:37:06.505726
5,ArianaGrandeVevo,Ariana Grande - positions (Official Live Performance) | Vevo,2021-07-22T16:00:22Z,2984429,25127,409823,1862,2021-07-23T20:37:06.505726
6,Sech,"@Sech, @JhayCortez  - 911 Remix (Lyrics/Letra)",2021-07-21T17:00:11Z,641594,536,16553,302,2021-07-23T20:37:06.505726
7,MrBeast Gaming,I Survived 100 Days Of Hardcore Minecraft!,2021-07-22T19:46:51Z,7655062,44670,495740,6601,2021-07-23T20:37:06.505726
8,Coldplay,Coldplay - Coloratura (Official Lyric Video),2021-07-22T23:00:10Z,486627,5796,50050,375,2021-07-23T20:37:06.505726
9,Goodwin Family,Invisible Jenga #shorts by Goodwin Family,2021-07-10T07:49:48Z,35044216,1966,954485,61736,2021-07-23T20:37:06.505726
10,The Kid LAROI.,The Kid LAROI - Not Sober (feat. Polo G and Stunna Gambino) (Official Video),2021-07-23T04:00:11Z,937156,7321,116140,732,2021-07-23T20:37:06.505726
11,Dylan Ayres,Rubber Band Trampoline #Shorts,2021-07-10T17:29:38Z,18581377,3135,1015220,41473,2021-07-23T20:37:06.505726
12,Anne-Marie,Anne-Marie &amp; Little Mix - Kiss My (Uh Oh) [Official Video],2021-07-23T12:00:11Z,717488,7869,120824,665,2021-07-23T20:37:06.505726
13,Goodwin Family,Bringing Down the House #shorts,2021-07-04T06:47:53Z,94305976,12733,2956752,176319,2021-07-23T20:37:06.505726
14,Marques Brownlee,Tesla Model S PLAID Impressions: Re-Inventing the Wheel!,2021-07-23T00:55:10Z,2176325,8192,113641,1620,2021-07-23T20:37:06.505726
15,Two Much Grian,Finding Inspiration for my Hermitcraft Base,2021-07-22T18:58:25Z,717764,4590,71657,196,2021-07-23T20:37:06.505726
16,Unspeakable 2.0,WE FILLED THE HOUSE WITH 100 MILLION PACKING PEANUTS!,2021-07-23T18:00:20Z,4797560,14679,115116,3786,2021-07-23T20:37:06.505726
17,JYP Entertainment,Stray Kids &quot;NOEASY&quot; Thunderous Trailer,2021-07-21T22:03:50Z,1736723,47909,415060,850,2021-07-23T20:37:06.505726
18,That's Amazing Shorts,Impossible iPhone Trick Shot,2021-07-17T16:48:23Z,38186931,16075,1905411,46977,2021-07-23T20:37:06.505726
19,Jake Paul,my dream came true.,2021-07-22T15:16:11Z,876704,4332,61010,6541,2021-07-23T20:37:06.505726
20,DW Documentary,Germany after the flooding | DW Documentary,2021-07-22T17:00:05Z,679918,1588,6128,241,2021-07-23T20:37:06.505726
21,Sidemen,SIDEMEN EXTREME FISHING vs LOGAN PAUL,2021-07-18T17:01:58Z,12182391,42205,790429,6291,2021-07-23T20:37:06.505726
22,ZHC Crafts,"Best Sand Art Wins $5,000 Challenge! | ZHC Crafts",2021-07-21T21:41:14Z,2789725,10804,105581,1738,2021-07-23T20:37:06.505726
23,TheKidLAROIVEVO,The Kid LAROI - Still Chose You (Official Audio) ft. Mustard,2021-07-23T04:00:32Z,499610,2450,43399,208,2021-07-23T20:37:06.505726
24,POP SMOKE,Pop Smoke - Coupe (Official Music Video),2021-07-22T02:30:04Z,1266723,4084,101154,717,2021-07-23T20:37:06.505726
25,Triggered Insaan,Thara Bhai Joginder is the Funniest Instagram Reeler | Fake Helping Pranksters of Facebook,2021-07-20T07:00:05Z,7474875,49337,838584,12291,2021-07-23T20:37:06.505726
26,jackfrags,Battlefield 2042 New Gameplay and Battlefield Portal Reveal!,2021-07-22T18:05:11Z,939413,7650,62237,579,2021-07-23T20:37:06.505726
27,jacksepticeye,15 MONTHS,2021-07-21T18:00:01Z,1805515,39715,284155,1771,2021-07-23T20:37:06.505726
28,Quackity,I Played Minecraft With Hank From Breaking Bad,2021-07-21T21:15:12Z,1696065,9692,239383,1286,2021-07-23T20:37:06.505726
29,Big Soto,"Big Soto, Gera MX - High (Video Oficial)",2021-07-23T04:00:01Z,564660,2526,51877,312,2021-07-23T20:37:06.505726
30,WION,"Central China Floods: Death toll goes up to 33, thousands evacuated from Henan province|English News",2021-07-22T10:45:06Z,911069,1900,8422,429,2021-07-23T20:37:06.505726
31,The Tonight Show Starring Jimmy Fallon,BTS: Permission to Dance (TV Debut) | The Tonight Show Starring Jimmy Fallon,2021-07-14T04:30:11Z,15416859,44950,1534929,11237,2021-07-23T20:37:06.505726
