,user_name,game_name,title,viewer_count,started_at,api_call_time
0,sodapoppin,World of Warcraft,(70) TBC launch! Day 4 (Kara soon)| www.sodapoppin.shop (Discount code: POOR),29204,2021-06-05 20:26:21,2021-06-06T08:06:02.878371
1,shroud,World of Warcraft,Prep | Follow @shroud on socials,20783,2021-06-05 18:37:18,2021-06-06T08:06:02.878371
2,BeyondTheSummit,Dota 2,LIVE: Boom Esports vs Motivate Trust (Bo5) - LOOT.BET Pro Series 6 SEA: Grand Finals w/ MLPDotA & johnxfire,20100,2021-06-04 12:47:00,2021-06-06T08:06:02.878371
3,yourragegaming,Just Chatting,W STREAM,17732,2021-06-06 02:39:30,2021-06-06T08:06:02.878371
4,AnthonyZ,Grand Theft Auto V,| !Giveaway | !F1 | TONY CORLEONE | NoPixel PUBLIC | STREAMS MON-FRI & SUN 9:30AM CT,17231,2021-06-06 04:17:49,2021-06-06T08:06:02.878371
5,Punz,Minecraft,speedrunning after ppsat | !gfuel !merch | @Punztw on Twitter and Insta,16750,2021-06-06 01:10:45,2021-06-06T08:06:02.878371
6,39daph,Minecraft,otv minecraft pogchamp sus bottom text big chungus i came to dig dig dig dig,16233,2021-06-06 00:58:58,2021-06-06T08:06:02.878371
7,sinatraa,VALORANT,SEN Sinatraa | gaming !newvid,15146,2021-06-06 00:47:37,2021-06-06T08:06:02.878371
8,ClintStevens,Mario Kart 8,ᶜˡᶦⁿᵈˢᵗᵉᵇᵉⁿ vs chat,13093,2021-06-06 04:34:59,2021-06-06T08:06:02.878371
9,Aydan,Call of Duty: Warzone,2v2 Kill Race Wagers w/ Rivs | !giveaway !yt,12859,2021-06-06 03:56:11,2021-06-06T08:06:02.878371
10,Maximilian_DOOD,Guilty Gear X,Guilty Gear Classics X YoVideogames & VF Later!? !ads !nzxt (6-5),11946,2021-06-06 04:30:21,2021-06-06T08:06:02.878371
11,Rogue,Apex Legends,Back to Regularly Scheduled Rank Grind · Twitter: @TTrebb,10117,2021-06-06 02:45:36,2021-06-06T08:06:02.878371
12,EsfandTV,World of Warcraft,WARLORD OF WARCRAFT HIGH OCTANE PALADIN GAMING,9418,2021-06-05 17:55:00,2021-06-06T08:06:02.878371
13,cfm_official,Music,#MIKUEXPO2021 Online,8828,2021-06-06 06:23:26,2021-06-06T08:06:02.878371
14,aceu,DOOM Eternal,NRG aceu // something // !socials,8627,2021-06-06 03:44:23,2021-06-06T08:06:02.878371
15,hannahxxrose,Minecraft,Minecraft Bedwars on Hypixel! 🌹 POPPING OFF TODAY !pobox !twitter,8427,2021-06-06 03:15:11,2021-06-06T08:06:02.878371
16,MuTeX,Call of Duty: Warzone,3x WORLD RECORD HOLDER | Solo Duos (56 kills) | Solo Quads (61 kills) | Trio vs Quads (111 kills),7981,2021-06-06 04:58:59,2021-06-06T08:06:02.878371
17,Scarra,Teamfight Tactics,"another late night stream... !video
",7796,2021-06-06 04:21:50,2021-06-06T08:06:02.878371
18,Tectone,Genshin Impact,SECRET GIVEAWAY + ACCOUNT REVIEWS :D ,7294,2021-06-06 05:53:21,2021-06-06T08:06:02.878371
19,RATIRL,League of Legends,👽 RATIRL  Sleepstream👽 hello 👽 Earlcups with coffee and !Gfuel with into psychology b 👽  and life coac,7247,2021-06-06 06:49:29,2021-06-06T08:06:02.878371
20,melina,"Pools, Hot Tubs, and Beaches","first time hot tub stream, ft sushia  | Washington state ⛰⛺️ | insta: melina.goransson",6499,2021-06-06 06:13:24,2021-06-06T08:06:02.878371
21,EASPORTSFIFA,FIFA 21,East Asia Playoffs | Day 2 | @EAFIFAesports,6447,2021-06-06 06:53:40,2021-06-06T08:06:02.878371
22,AfriicanSnowball,Grand Theft Auto V,Cadet Carter | NoPixel 3.0,6349,2021-06-06 03:52:31,2021-06-06T08:06:02.878371
23,VALORANT,VALORANT,Grand Final | ORDER vs Wildcard | VALORANT Oceania Tour Stage 2 Regional Finals - Presented by LetsPlay.Live,5895,2021-06-06 05:00:07,2021-06-06T08:06:02.878371
24,Chainbrain,Music,Metal Guitar | Shredding some bangers! | Rocksmith 2014,5592,2021-06-05 16:55:28,2021-06-06T08:06:02.878371
25,sleepy,Minecraft,OTV SMP / 🅱️roke boys left with nothing but our hearts,5315,2021-06-06 00:32:45,2021-06-06T08:06:02.878371
26,Tyceno,NBA 2K20,FIRST WAGER BACK ON 2K20 | $500 2v2 vs King Chief !series !sub,5202,2021-06-06 07:35:50,2021-06-06T08:06:02.878371
27,tarik,Just Chatting,Where your ass was at @tarik ,4870,2021-06-05 21:42:51,2021-06-06T08:06:02.878371
28,BobRoss,Art,Bob Ross - Weekend Marathon! Beginning Friday at 12PM EDT.,4809,2021-06-04 15:46:58,2021-06-06T08:06:02.878371
29,bnans,Minecraft,minecwaft peepoHappy [otv smp] | !cc !subgoal !room | @bnans on socials,4807,2021-06-05 20:58:14,2021-06-06T08:06:02.878371
