,username,video_title,publish_time,view_count,comment_count,like_count,dislike count,api_call_time
0,BillieEilishVEVO,Billie Eilish - Lost Cause (Official Music Video),2021-06-02T16:00:12Z,28022837,138707,2214784,61138,2021-06-06T14:37:06.996497
1,BeckyGVEVO,"Becky G, El Alfa - Fulanito (Official Video)",2021-06-04T04:00:11Z,2362590,9388,151357,3018,2021-06-06T14:37:06.996497
2,BANGTAN NIA,BTS ft. Sakshma Srivastav | Entrevista en ESPAÑOL | * Traducida completa *,2021-06-05T23:10:14Z,4283677,72025,638320,5862,2021-06-06T14:37:06.996497
3,Magnus The Therapy Dog,Does your dog make this sound?,2021-05-21T17:33:31Z,17789748,1381,340473,42660,2021-06-06T14:37:06.996497
4,MrBeast Gaming,I Gave Away My Credit Card!,2021-06-04T18:10:09Z,7768367,26033,446146,5015,2021-06-06T14:37:06.996497
5,5-Minute Crafts LIKE,Is It Hard To Be a PARENT? SMART HACKS FROM CRAFTY MOMS,2021-06-05T15:00:01Z,3601520,350,30556,7282,2021-06-06T14:37:06.996497
6,RazZer34,Muck &quot;endgame&quot; in a nutshell,2021-06-06T14:26:53Z,938455,27744,121425,635,2021-06-06T14:37:06.996497
7,1Rod1ReelFishing,FISH LOVE THIS SECRET BAIT!!! #shorts,2021-05-25T23:32:08Z,7322768,4850,237108,10422,2021-06-06T14:37:06.996497
8,LilBabyVEVO,"Lil Baby, Lil Durk - How It Feels (Official Video)",2021-06-04T19:00:02Z,2974067,8409,142530,2370,2021-06-06T14:37:06.996497
9,boburnham,Welcome to the Internet - Bo Burnham (from &quot;INSIDE&quot;),2021-06-04T15:00:32Z,1954394,13909,205422,783,2021-06-06T14:37:06.996497
10,Fight Hub TV,FLOYD MAYWEATHER VS LOGAN PAUL - FULL WEIGH IN AND FACE OFF VIDEO,2021-06-05T22:11:55Z,1284855,7123,20900,947,2021-06-06T14:37:06.996497
11,Preston,Guessing YouTubers Using ONLY Their Voice!,2021-06-05T15:00:06Z,1368356,8842,107219,1242,2021-06-06T14:37:06.996497
12,TommyInnit,"Minecraft, But My Friend Is A Wither...",2021-06-04T17:00:18Z,4814656,27521,466561,4327,2021-06-06T14:37:06.996497
