,user_name,game_name,title,viewer_count,started_at,api_call_time
0,Tubbo,Minecraft,Back on Dream SMP (Q&A),84980,2021-07-27 21:39:53,2021-07-27T22:06:07.686436
1,xQcOW,VALORANT,UNDEAD MAN WITH NOTHING LEFT TO GIVE GOES ALL-IN ON BROADCASTING DEAD GAMES IN AN ATTEMPT TO STAY ABOVE WATER *GONE WRONG* *GOLEM GAMEPLAY*,81159,2021-07-27 09:42:19,2021-07-27T22:06:07.686436
2,NICKMERCS,Apex Legends,Fraggin' | Code: MFAM | @NICKMERCS,38881,2021-07-27 17:54:26,2021-07-27T22:06:07.686436
3,sapnapalt,VALORANT,Valorant with PUNZ,37150,2021-07-27 21:23:47,2021-07-27T22:06:07.686436
4,HasanAbi,Just Chatting,MASKS ARE BACK BABY!!!,35629,2021-07-27 18:05:46,2021-07-27T22:06:07.686436
5,Mizkif,Just Chatting,"TALKING TO H3H3 ABOUT GAMBLING AT SHAKE SHACK FT GREEKGODX, HACHUBBY, AND FAZE BANKS",33972,2021-07-27 20:13:13,2021-07-27T22:06:07.686436
6,ROSHTEIN,Slots,⭐ OPENING 166 BONUSES (15 SUPER) | 💠 USE !STAKE TO BE ELIGIBLE FOR CASH RAFFLES,32742,2021-07-27 10:42:27,2021-07-27T22:06:07.686436
7,TimTheTatman,Apex Legends,click here pls,31422,2021-07-27 17:51:58,2021-07-27T22:06:07.686436
8,buddha,Grand Theft Auto V,Lang Buddha - NoPixel | !website !tiktok,19622,2021-07-27 16:05:06,2021-07-27T22:06:07.686436
9,Clix,Fortnite,15k Duo Tournament w Deyy,17918,2021-07-27 19:56:35,2021-07-27T22:06:07.686436
10,nbcolympics,Sports,"The Try-athlon with Competitors: BigCheeseKIT, MrLlamaSC, Tangent",16816,2021-07-27 19:00:02,2021-07-27T22:06:07.686436
11,RatedEpicz,Grand Theft Auto V,Randy Bullet | Chang Gang | NoPixel | GTA V RP | !youtube,16679,2021-07-27 20:07:11,2021-07-27T22:06:07.686436
12,TSM_ImperialHal,Apex Legends,"$10,000 DreamHack Finals (2 minute delay) | TSMFTX",16597,2021-07-27 20:16:26,2021-07-27T22:06:07.686436
13,loltyler1,League of Legends,SPEED SWITFY CLIMBER ! up up up GOGO ! wee ! see it so funner :D ! ,16312,2021-07-27 21:39:03,2021-07-27T22:06:07.686436
14,Amouranth,ASMR,👅ASMR + EAR LICKING💦 !s --> all my social media💦!instagram: @amouranth 💦,14839,2021-07-27 16:39:42,2021-07-27T22:06:07.686436
15,LVNDMARK,Escape from Tarkov,2500+ PMC Kills | NEW !MERCH | 30% OFF !GFUEL | @lvndmark_tv on socials,14087,2021-07-27 17:14:00,2021-07-27T22:06:07.686436
16,Ramee,Grand Theft Auto V,Ramee | !Twitter | Chang Gang | NoPixel,14026,2021-07-27 19:15:46,2021-07-27T22:06:07.686436
17,Quin69,Path of Exile,"EXPEDITION LEAGUE ~ DAY 4, NO LOGOUT HARDCORE SSF | ELP ~ !RIP2",12300,2021-07-27 13:30:10,2021-07-27T22:06:07.686436
18,LIRIK,Genshin Impact,Genshin Impact - Inazuma - #SPONSORED,12258,2021-07-27 16:09:13,2021-07-27T22:06:07.686436
19,HusKerrs,Call of Duty: Warzone,"Code ""HUSKERRS"" in the CoD Store !tournament | Follow @HusKerrs on all socials",11516,2021-07-27 18:58:15,2021-07-27T22:06:07.686436
20,ShivFPS,Call of Duty: Warzone,Warzone stream LG Rlaw and LG Allenownz| !Socials for updates !gfuel !exitlag,11106,2021-07-27 08:24:18,2021-07-27T22:06:07.686436
21,Otzdarva,Dead by Daylight,"New update, Trickster streak? || !faq !streak",10522,2021-07-27 17:13:30,2021-07-27T22:06:07.686436
22,AnthonyZ,Grand Theft Auto V,!Twitter | Tony Corleone | NoPixel WL | LIVE MON-FRI 9:30AM CT,10297,2021-07-27 16:26:15,2021-07-27T22:06:07.686436
23,AdmiralBahroo,Tribes of Midgard,Learning Nordic with Momo,9961,2021-07-27 15:05:10,2021-07-27T22:06:07.686436
24,Thijs,Hearthstone,Thijs - PACK DROPS & NEW CARDS NEW EXPANSION DECKS HYPEEE!!!!,9902,2021-07-27 15:10:12,2021-07-27T22:06:07.686436
25,Pestily,Escape from Tarkov,1 HR TILL PC GIVEAWAY #14 | !RAID MINI SERIES NOW LIVE! DAY 27 CONTINUOUSLY LIVE | ,9635,2021-07-26 14:41:20,2021-07-27T22:06:07.686436
26,nyanners,Just Chatting,FULL BODY VR FIELD TRIP YEAYEAYEAYEAYA,8596,2021-07-27 19:14:59,2021-07-27T22:06:07.686436
27,dogdog,Hearthstone,doggeroni and the quest for,8349,2021-07-27 16:06:31,2021-07-27T22:06:07.686436
28,GTAWiseGuy,Grand Theft Auto V,Eddie -  Midnight Heat | NoPixel WL !discord,8231,2021-07-27 14:46:51,2021-07-27T22:06:07.686436
29,forsen,Tribes of Midgard,Tribes of Midgard!,8094,2021-07-27 16:59:32,2021-07-27T22:06:07.686436
30,TwitchRivals,Teamfight Tactics,Twitch Rivals: Rift Series Sentinels of Light - Day 1 (NA),7770,2021-07-27 20:45:00,2021-07-27T22:06:07.686436
31,Arcadum,Dungeons & Dragons,A Storm Approaches Ep. 3 Please dear god let it work this time ,7325,2021-07-27 20:33:54,2021-07-27T22:06:07.686436
32,SmallAnt,Super Mario Odyssey,Mario DIES if Cappy touches him,7266,2021-07-27 20:02:41,2021-07-27T22:06:07.686436
33,ChilledChaos,Among Us,AMONG US x TOWN OF SALEM! | Dead By Daylight & In Silence After!,6569,2021-07-27 20:33:21,2021-07-27T22:06:07.686436
34,Northernlion,Pogostuck: Rage With Your Friends,getting over it but bouncy | !docket !prime,6411,2021-07-27 17:59:53,2021-07-27T22:06:07.686436
35,masondota2,Dota 2,best dota 2 player PMA + FUN = ME,6361,2021-07-27 20:28:11,2021-07-27T22:06:07.686436
36,k3soju,Teamfight Tactics,Rank 1 NA TFT Twitch Rivals !teams | 3 min delay :( | !KAYLE !YASUO3 !GALIO3 ON !YT,6348,2021-07-27 21:05:31,2021-07-27T22:06:07.686436
37,Yassuo,League of Legends,CHALL IF I WIN 22 IN A ROW VERY DOABLE VERY SIMPLE CONCEPT,6225,2021-07-27 19:17:24,2021-07-27T22:06:07.686436
38,dunkstream,Donkey Kong 64,Donkey Kong 64 - going for the gold,6063,2021-07-27 18:52:56,2021-07-27T22:06:07.686436
39,GuhRL,Apex Legends,FREE LOADING SCREEN UNLIMITED SUBATHON? !drops !servers !socials,5713,2021-07-27 07:41:23,2021-07-27T22:06:07.686436
