,username,video_title,publish_time,view_count,comment_count,like_count,dislike count,api_call_time
0,riesha reacts,I GOT EMOTIONAL 😢.. Billie Eilish - Happier Than Ever (Live Performance) | Reaction,2021-08-10T17:08:16Z,1408912,15733,241646,1804,2021-08-10T20:37:06.558298
1,FC Barcelona,LEO MESSI&#39;S FAREWELL PRESS CONFERENCE from CAMP NOU (FULL LIVESTREAM),2021-08-08T10:44:09Z,8170852,17865,464165,3560,2021-08-10T20:37:06.558298
2,TheWeekndVEVO,The Weeknd - Take My Breath (Official Music Video),2021-08-06T04:00:09Z,15468899,43888,709930,9489,2021-08-10T20:37:06.558298
3,MrBeast,I Got Hunted By The FBI,2021-08-07T23:00:03Z,24869626,63979,1593721,15982,2021-08-10T20:37:06.558298
4,SSundee,*PLAYSTATION 5* Mod in Among Us,2021-08-09T16:00:18Z,6447419,13563,395097,7073,2021-08-10T20:37:06.558298
5,Guardian Football,&#39;I am here to say goodbye&#39;: Lionel Messi tearful as Barcelona exit looms,2021-08-08T11:15:45Z,1639148,2927,28621,711,2021-08-10T20:37:06.558298
6,Tottenham Hotspur,Heung-min Son scores the winner against Arsenal! HIGHLIGHTS | SPURS 1-0 ARSENAL,2021-08-08T16:59:21Z,1368739,2713,23543,601,2021-08-10T20:37:06.558298
7,Yancomex,Fortnite - Rift Tour Ft. Ariana Grande,2021-08-09T22:00:11Z,2135738,17051,312202,2114,2021-08-10T20:37:06.558298
8,Daniel Gizmo,Regina QUIT YouTube for Tik Tok,2021-08-10T15:00:06Z,2321105,4694,137659,4174,2021-08-10T20:37:06.558298
9,Manchester United,Rampant Reds hit Everton for four | Manchester United 4-0 Everton | Highlights | Pre-Season 21/22,2021-08-07T16:00:08Z,3704465,2462,68611,1099,2021-08-10T20:37:06.558298
10,King Von,King Von - Demon (Official Video),2021-08-09T17:00:10Z,1505387,22272,167597,1523,2021-08-10T20:37:06.558298
11,SPFL,Kyogo Furuhashi Scores Home Debut Hat-Trick! | Celtic 6-0 Dundee | cinch Premiership,2021-08-08T23:00:14Z,949309,1320,9747,227,2021-08-10T20:37:06.558298
12,Redy Cinta Bola,Ben Davies VS Osasuna (9/8/2021) HD 1080i,2021-08-10T09:55:12Z,1252592,1386,25359,340,2021-08-10T20:37:06.558298
13,Jaiden Animations,Amazing Island: The Game You Wish You Played,2021-08-08T18:04:37Z,2597501,20811,267292,1131,2021-08-10T20:37:06.558298
14,PWR,Welcome to the Fortnite OLYMPICS!,2021-08-09T22:28:08Z,320835,1116,19837,166,2021-08-10T20:37:06.558298
15,Complex,Bobby Shmurda Goes Sneaker Shopping With Complex,2021-08-09T14:00:19Z,924212,3417,44837,440,2021-08-10T20:37:06.558298
16,Bancily,40 Things YOU DIDN&#39;T Know About Fortnite,2021-08-09T20:10:28Z,330344,266,5755,162,2021-08-10T20:37:06.558298
17,LilNasXVEVO,"Lil Nas X, Jack Harlow - INDUSTRY BABY (Official Video)",2021-07-23T04:00:12Z,71120087,278222,3099731,256198,2021-08-10T20:37:06.558298
18,WIRED,BTS Answer the Web&#39;s Most Searched Questions | WIRED,2021-08-04T16:00:09Z,7387978,40516,843476,6802,2021-08-10T20:37:06.558298
19,Anasala Family Too,Bungee Jump Prank on Blindfolded Wife!! (Funniest CLIP),2021-08-09T17:31:08Z,785989,1606,84496,1628,2021-08-10T20:37:06.558298
20,That's Amazing,PERFECT TIMING From Level 1 to Level 100,2021-08-09T23:04:22Z,289613,2321,19466,157,2021-08-10T20:37:06.558298
21,FAMILY BOOMS,Amazing Liquid Experiment #shorts by Family Booms,2021-08-06T13:00:23Z,10724561,765,323757,29404,2021-08-10T20:37:06.558298
22,Itsdanielmac,Complete Stranger Let&#39;s Me Party On His Super Yacht,2021-08-03T15:00:34Z,10952516,4022,614924,8720,2021-08-10T20:37:06.558298
23,Patchy's Top Plays,Cool Tip I Learned from Reddit,2021-08-07T18:00:13Z,489068,215,27890,437,2021-08-10T20:37:06.558298
24,BillieEilishVEVO,Billie Eilish - Happier Than Ever (Official Music Video),2021-07-30T16:00:09Z,24294347,76564,1429318,27513,2021-08-10T20:37:06.558298
25,c0ker,TEST DE TINCHO 2.0 FT. @Goncho,2021-08-10T00:45:11Z,62744,183,8390,33,2021-08-10T20:37:06.558298
26,LatinHype,"The Kid LAROI, Justin Bieber - STAY",2021-08-09T18:38:53Z,684449,577,20185,244,2021-08-10T20:37:06.558298
27,Stranger Things,Stranger Things 4 | Sneak Peek | Netflix,2021-08-06T13:00:00Z,6711368,18746,297786,3297,2021-08-10T20:37:06.558298
28,Emirates,We&#39;re on top of the world | Behind the scenes | Emirates Airline,2021-08-09T08:59:11Z,757200,363,5236,150,2021-08-10T20:37:06.558298
29,MOP Music Channel,BETRAND PETO PUTRA ONSU - AYAHKU ( Official Music Video ),2021-08-07T02:00:12Z,1609127,46710,198556,2040,2021-08-10T20:37:06.558298
30,Little Big,LITTLE BIG - MOUSTACHE (feat. NETTA) (Official Music Video),2021-08-06T08:00:10Z,2836186,7200,148445,19556,2021-08-10T20:37:06.558298
31,Donut Media,$800 Off-Road Tires vs. $1500 Off-Road Tires,2021-08-08T16:00:03Z,1645202,4814,72806,646,2021-08-10T20:37:06.558298
