,username,video_title,publish_time,view_count,comment_count,like_count,dislike count,api_call_time
0,WIRED,BTS Answer the Web&#39;s Most Searched Questions | WIRED,2021-08-04T16:00:09Z,3013374,26870,501181,2671,2021-08-05T14:37:06.792135
1,FORMULA 1,Race Highlights | 2021 Hungarian Grand Prix,2021-08-01T17:15:00Z,6257480,13702,126990,3247,2021-08-05T14:37:06.792135
2,TheGrefg,VUELVO A GEOMETRY DASH - TheGrefg,2021-08-03T18:56:49Z,1638050,8115,149785,2420,2021-08-05T14:37:06.792135
3,Clash of Clans,Party Like A Queen! (Clash of Clans Official),2021-08-01T08:00:08Z,19680040,6880,192227,3771,2021-08-05T14:37:06.792135
4,Chelsea Football Club,Chelsea 2-2 Tottenham | Ziyech Brace Before Blues Pegged Back | The Mind Series | Highlights,2021-08-04T21:40:22Z,1420267,1819,31924,559,2021-08-05T14:37:06.792135
5,Kurzgesagt – In a Nutshell,The Largest Black Hole in the Universe - Size Comparison,2021-08-03T13:59:22Z,5731274,21584,306802,2190,2021-08-05T14:37:06.792135
6,Omar Raja - ESPN,"I was at the Drake, Justin Bieber, and Quavo private basketball game! #shorts",2021-07-31T21:46:22Z,3682798,1036,201659,4610,2021-08-05T14:37:06.792135
7,BillieEilishVEVO,Billie Eilish - Happier Than Ever (Official Music Video),2021-07-30T16:00:09Z,16499444,67700,1128575,21377,2021-08-05T14:37:06.792135
8,LilNasXVEVO,"Lil Nas X, Jack Harlow - INDUSTRY BABY (Official Video)",2021-07-23T04:00:12Z,62409147,263749,2859379,227616,2021-08-05T14:37:06.792135
9,Fera Animations,&quot;STRESS&quot; but Every Turn Another Character Sing It - Friday Night Funkin Animation,2021-08-03T17:26:41Z,2740260,1734,57416,3161,2021-08-05T14:37:06.792135
10,Gallery Sessions,Lucho SSJ - Money Machine  | GALLERY SESSION,2021-08-04T16:00:13Z,69172,411,9228,149,2021-08-05T14:37:06.792135
11,Netflix,Money Heist: Part 5 Vol. 1 | Official Trailer | Netflix,2021-08-02T14:00:00Z,4647265,10658,262829,2218,2021-08-05T14:37:06.792135
12,Everyday Astronaut,Starbase Factory Tour with Elon Musk [Part 1],2021-08-03T20:59:59Z,913546,8557,86371,512,2021-08-05T14:37:06.792135
13,The Game Theorists,Game Theory: Monika Has ESCAPED! (Doki Doki Literature Club Plus),2021-08-03T18:05:09Z,1787399,12076,147568,1257,2021-08-05T14:37:06.792135
14,England & Wales Cricket Board,England Bowled Out For 183 | England v India - Day 1 Highlights | 1st LV= Insurance Test 2021,2021-08-04T20:12:30Z,7130533,7458,209480,4458,2021-08-05T14:37:06.792135
15,PontiacMadeDDG VLOGS,"I BOUGHT A NEW 2021 MAYBACH FOR $300,000!!! (emotional)",2021-08-04T02:31:45Z,457740,4602,48556,496,2021-08-05T14:37:06.792135
16,YouTube Family,Must Watch Eid Special New Comedy Video 2021 Amazing Funny Video 2021 Episode 122 By Busy Fun Ltd,2021-08-04T04:27:24Z,6604538,260,25130,11504,2021-08-05T14:37:06.792135
17,GQ,"Olivia Rodrigo Goes Undercover On YouTube, Twitter, and Instagram | Actually Me | GQ",2021-08-04T16:00:03Z,223418,774,17068,261,2021-08-05T14:37:06.792135
18,MrBeast,"If You Can Carry $1,000,000 You Keep It!",2021-07-24T20:00:59Z,30703973,58493,1379144,15620,2021-08-05T14:37:06.792135
